id,Volume,DeltaPriceScaled,Zscore,SMA100,SMA200,Date
896,2026259968,-0.009632321599137392,-1.2880641889260975,1600.4687200927735,1271.6141485595704,2017-06-15
897,1195190016,0.013482495459317147,-1.0355824247877001,1612.8791204833985,1280.2768740844726,2017-06-16
898,1534509952,0.03904389264046553,-0.22940058888745918,1626.564721069336,1289.1906094360352,2017-06-17
899,1178659968,-0.02946391185135694,-0.9865610011335252,1641.2386199951172,1298.7919888305664,2017-06-18
900,1446840064,0.011165255592471094,-0.7548015623821015,1655.5543206787108,1307.8049841308593,2017-06-19
901,1854189952,0.03592306344378073,0.14269181321395555,1669.6920220947266,1316.9691146850587,2017-06-20
902,1626579968,-0.005594957114130648,-0.0008178308756185175,1684.6961224365234,1326.6883450317382,2017-06-21
903,1097939968,0.003957475880225951,0.1279515183339221,1699.2679229736327,1336.2780703735352,2017-06-22
904,961318976,0.010339560837087449,0.44833637343650995,1713.9220220947266,1345.9357598876952,2017-06-23
905,982750016,-0.03572216611132104,-0.4525415079752312,1728.8750213623048,1355.866809387207,2017-06-24
906,1161100032,-0.004909756111982189,-0.4920720898908081,1743.0841204833985,1365.0892892456054,2017-06-25
907,1663280000,-0.030856486470942048,-1.6694093347504746,1757.9759197998046,1374.1956787109375,2017-06-26
908,1489789952,0.020365479952461914,-0.6154926739074718,1773.0222393798829,1382.7338784790038,2017-06-27
909,1183869952,0.005988554630367722,-0.2610619085399348,1788.1793389892578,1391.632158203125,2017-06-28
910,949979008,-0.007771904796971409,-0.7406042081820589,1803.3849395751954,1400.6328582763672,2017-06-29
911,860273024,-0.016072189735234787,-1.6082130803260775,1817.572739868164,1409.480803527832,2017-06-30
912,779913984,-0.01597590683308939,-2.06523236430944,1831.889740600586,1417.9845690917969,2017-07-01
913,803747008,0.019283926654601182,-0.9029231156787191,1845.849341430664,1426.2545391845704,2017-07-02
914,964112000,0.01802620184981426,-0.24167117999645168,1861.5388409423829,1434.879483947754,2017-07-03
915,985516032,0.011184471859054194,0.1759710112493304,1877.451651611328,1443.8093441772462,2017-07-04
916,941566016,-0.00024221902458768343,0.2944535100691789,1893.80080078125,1452.8930087280273,2017-07-05
917,761956992,0.00012658547637259238,0.47084947596844945,1909.3630004882812,1461.9488137817382,2017-07-06
918,917411968,-0.024749610702627333,-0.6083499991821418,1924.9771008300781,1471.0389639282228,2017-07-07
919,733329984,0.014054952072212312,0.44875582909735773,1939.7640002441406,1479.6686935424805,2017-07-08
920,527856000,-0.014908127432604655,-0.5034213445196876,1955.2131005859376,1488.5210140991212,2017-07-09
921,1111200000,-0.04202167487366985,-3.303079337548883,1969.679599609375,1496.9418087768554,2017-07-10
922,1329760000,-0.013237521655254264,-2.988161947052629,1982.6002001953125,1504.4819091796876,2017-07-11
923,1117410048,0.01818308990041405,-1.4438349748937014,1994.9564001464844,1511.5609393310547,2017-07-12
924,835769984,-0.01232938508484452,-1.717544748047592,2007.5067004394532,1519.061029663086,2017-07-13
925,882502976,-0.035020369242578085,-2.79525543581545,2019.7531994628907,1526.3696142578126,2017-07-14
926,993608000,-0.06364491322579033,-4.174546204439573,2030.838800048828,1532.9982647705078,2017-07-15
927,1182870016,-0.01710701256663207,-3.0663829510689284,2039.0005993652344,1538.3265747070313,2017-07-16
928,1201760000,0.08140410303574011,-0.8164652824230725,2046.5297985839843,1543.0960693359375,2017-07-17
929,1512450048,0.023491818708097117,-0.276094303957802,2057.0543981933592,1549.3706338500976,2017-07-18
930,1245100032,-0.013664176525193734,-0.41403350029557506,2068.3644970703126,1556.158843383789,2017-07-19
931,2249260032,0.15073488109834268,2.544784224781724,2079.2274963378904,1562.7072781372071,2017-07-20
932,1489449984,-0.046964421149611135,1.4685443251092836,2095.353397216797,1571.803653564453,2017-07-21
933,1177129984,0.03893941258963784,1.9704435951405037,2110.0272973632814,1580.0337036132812,2017-07-22
934,1072840000,-0.021383807701879646,1.4069116657181948,2126.4356982421873,1588.8651043701173,2017-07-23
935,866473984,0.006098678619632413,1.3674642890132753,2142.064296875,1596.7434539794922,2017-07-24
936,1460089984,-0.04981837268591805,0.5607838456640838,2157.887697753906,1605.4508544921875,2017-07-25
937,937404032,-0.013298126803708659,0.33128321192914834,2171.8230981445313,1613.8222494506836,2017-07-26
938,789104000,0.03662210553304848,0.7979417615723882,2185.178497314453,1621.9265740966796,2017-07-27
939,1380099968,0.03557905195809725,1.1824481426541391,2199.779597167969,1630.7294793701171,2017-07-28
940,803745984,-0.022173623134342398,0.742458771539138,2215.766796875,1640.2603894042968,2017-07-29
941,705942976,0.00902412004280793,0.7524512487670317,2230.7404968261717,1649.3542440795898,2017-07-30
942,860574976,0.030850976911991648,1.2904798559066994,2246.0917956542967,1659.2513586425782,2017-07-31
943,1324669952,-0.04211802496555854,0.2991791976398788,2262.5280969238283,1669.6038891601563,2017-08-01
944,1094950016,-0.004529932493121114,0.11200887977940092,2277.6385974121094,1679.0752691650391,2017-08-02
945,804796992,0.026191636973279444,0.8789491769880526,2292.2437963867187,1688.5365588378907,2017-08-03
946,1002120000,0.024482598662762853,1.9176825776591284,2307.6361962890624,1698.4512188720703,2017-08-04
947,1945699968,0.09777632856967013,5.228515174991968,2323.784295654297,1708.7729983520508,2017-08-05
948,1105030016,-0.01201843095286344,2.6878780220901777,2343.136094970703,1720.4978579711915,2017-08-06
949,1482279936,0.04572873458062581,2.8746964669641657,2362.110694580078,1732.1344677734376,2017-08-07
950,1752760064,0.013683392791776836,2.305606311571085,2382.6821936035158,1744.5338024902344,2017-08-08
951,1468960000,-0.021447033250322645,1.5745275355058896,2403.4026928710937,1757.1583721923828,2017-08-09
952,1515110016,0.010854234270746714,1.5097757581624949,2422.6113928222658,1769.261777038574,2017-08-10
953,2021190016,0.07617791682769809,2.2641632598298775,2441.895993652344,1781.5448123168944,2017-08-11
954,2219589888,0.06442098835574872,2.555532428395177,2463.5012951660156,1795.192852783203,2017-08-12
955,3159089920,0.05317591134824014,2.529652644753163,2486.9716943359376,1810.1529675292968,2017-08-13
956,2463089920,0.07128737698229899,2.6058781892019076,2512.149794921875,1826.0115576171875,2017-08-14
957,3258050048,-0.03992186101613467,1.718714556589023,2539.613093261719,1843.0492770385742,2017-08-15
958,2272039936,0.04851663859927123,1.87597700838966,2565.465295410156,1859.3601779174805,2017-08-16
959,2553359872,-0.014517284695842783,1.5241489338641492,2591.998094482422,1876.6353771972656,2017-08-17
960,2941710080,-0.045057173096366754,0.9849032945583934,2617.7613940429687,1893.6963470458984,2017-08-18
961,2975820032,0.015398007850987125,0.948005440621194,2641.4962951660154,1909.897537536621,2017-08-19
962,2109769984,-0.02797505432962643,0.5668062347891282,2664.94759765625,1926.0140234375,2017-08-20
963,2800890112,-0.024422060704051757,0.23152762019416293,2688.581796875,1941.5072079467773,2017-08-21
964,3764239872,0.028118101293106924,0.405640209856382,2710.550096435547,1956.4569079589844,2017-08-22
965,2369819904,0.017203329063649114,0.45400877481336627,2733.4661962890623,1971.8099578857423,2017-08-23
966,2037750016,0.054238248379517774,1.0321505792994903,2757.5970959472656,1987.3530578613281,2017-08-24
967,1727970048,0.010672687584356723,1.2630877858061846,2783.5993981933593,2003.8897589111327,2017-08-25
968,1511609984,-0.005410655648265456,1.170881333861743,2808.9244995117188,2020.5570092773437,2017-08-26
969,1537459968,0.010397344016323345,1.3420716754710764,2833.5619982910157,2037.012258911133,2017-08-27
970,1959330048,-0.0004926351978576685,1.1615605236876028,2857.5136975097657,2053.61130859375,2017-08-28
971,2486080000,0.0522374722036032,2.642090557756708,2880.492999267578,2070.5526943969726,2017-08-29
972,1937849984,-0.0013925746195851115,1.9309755629786438,2905.871199951172,2088.5044244384767,2017-08-30
973,1944930048,0.04067599869490643,2.486233059533048,2929.790198974609,2106.308673400879,2017-08-31
974,2599079936,0.05235854812102539,2.904466609501331,2953.619901123047,2124.8297189331056,2017-09-01
975,2722139904,-0.08879621780872209,0.879221709128508,2978.103599853516,2144.3365576171873,2017-09-02
976,1933190016,-0.0006357493510814593,0.7807032016114613,3000.8415002441407,2162.207657775879,2017-09-03
977,2987330048,-0.09778728049782762,-0.8153407303296286,3024.6469006347656,2180.0850576782227,2017-09-04
978,2697969920,0.04079694023284203,-0.32041816361957237,3046.621301269531,2196.1294082641602,2017-09-05
979,2172100096,0.060691957602734464,0.7071129727515361,3068.8285986328124,2212.781007385254,2017-09-06
980,1844620032,0.002955676807659416,0.6137890188416665,3092.2436987304686,2230.494507751465,2017-09-07
981,2700890112,-0.10359153366233015,-1.720645031783002,3116.4877978515624,2248.2545571899414,2017-09-08
982,1386230016,-0.0010320344570504349,-1.5590033787170186,3135.9111987304686,2263.9984072875977,2017-09-09
983,1679090048,-0.02928223078548035,-1.9721558309083098,3154.093000488281,2279.552207336426,2017-09-10
984,1557330048,0.010678062763820526,-1.4985637905168414,3170.4368994140623,2294.5797073364256,2017-09-11
985,1864530048,-0.01047716543136084,-1.4683926324487768,3186.8960986328125,2309.5524575805666,2017-09-12
986,2219409920,-0.06863438996819507,-2.303013309647479,3203.0860986328125,2324.3381076049805,2017-09-13
987,2716310016,-0.19826624930189857,-4.508452537657756,3215.0438989257814,2338.0318582153322,2017-09-14
988,4148069888,0.1296840657642457,-1.5731487933833042,3217.9613989257814,2347.980608215332,2017-09-15
989,1818400000,-0.003497898036070679,-1.4130443703060098,3227.015,2360.2683584594724,2017-09-16
990,1239149952,-0.006439935325840691,-1.3215716714627217,3235.20919921875,2372.4937088012693,2017-09-17
991,1943209984,0.13047939075565884,0.06270966352984235,3242.7998974609377,2384.295608215332,2017-09-18
992,1563980032,-0.040956650252660314,-0.2605932245513724,3253.974797363281,2398.3665579223634,2017-09-19
993,1213830016,-0.002864970654207717,-0.23391731116903022,3263.6433959960937,2411.616457824707,2017-09-20
994,1411480064,-0.0744248020455783,-0.9118844914656102,3276.1065966796873,2424.8704574584963,2017-09-21
995,1194829952,0.000737541812177254,-0.8153225985409336,3285.246796875,2436.6900576782227,2017-09-22
996,928113984,0.04471598357990177,-0.14409962479303248,3296.4900952148437,2448.4794076538087,2017-09-23
997,768014976,-0.03118390209003103,-0.44560702807514074,3309.768293457031,2461.323706970215,2017-09-24
998,1374210048,0.06728589182021315,0.5996027369670965,3321.41109375,2473.987907409668,2017-09-25
999,1043740032,-0.009923992274792074,0.5764094193823782,3334.1129956054688,2487.675807800293,2017-09-26
1000,1686880000,0.08469011821632194,2.12022909196036,3347.553596191406,2501.5539584350586,2017-09-27
1001,1712320000,-0.006164658947550612,1.67755614033965,3363.6642944335936,2516.67815826416,2017-09-28
1002,1367049984,-0.0023531191897669486,1.6155551485308446,3378.193693847656,2531.44490814209,2017-09-29
1003,1207449984,0.047501132819072,2.200016172498751,3392.9333911132812,2546.100657043457,2017-09-30
1004,1208210048,0.017252982283946006,2.075457867608156,3409.2663916015626,2561.5942068481445,2017-10-01
1005,1431730048,0.0037180116351134673,1.7681204604164233,3425.8546948242188,2577.364858093262,2017-10-02
1006,1288019968,-0.02503852659880682,1.1733350234932785,3443.860693359375,2593.4724069213867,2017-10-03
1007,1116770048,-0.024771648938428932,0.7084975361155943,3461.141394042969,2609.5586569213865,2017-10-04
1008,1161769984,0.027116436600026984,0.9765930361333227,3478.6504931640625,2625.8363662719726,2017-10-05
1009,1069939968,0.012755972765040693,1.018997538472829,3496.4100952148438,2642.294717102051,2017-10-06
1010,906928000,0.0158355474593408,1.1585422069902311,3514.3702954101564,2658.8776174926757,2017-10-07
1011,1313869952,0.049760589506682155,1.8761358744194259,3533.24599609375,2675.409367980957,2017-10-08
1012,1968739968,0.04334544719611826,2.6890954236227573,3554.5423950195313,2693.2160678100586,2017-10-09
1013,1597139968,0.0015907843623128967,2.238742052647118,3577.9170947265625,2711.8832180786135,2017-10-10
1014,1222279936,0.010246032714417253,2.2368110969590287,3600.6722973632814,2731.1055691528322,2017-10-11
1015,2791610112,0.16989490986630315,4.704265731874541,3623.296496582031,2750.3740740966796,2017-10-12
1016,3615480064,0.05037698821169392,3.4452837825812965,3651.74919921875,2772.775,2017-10-13
1017,1669030016,0.051810951713150324,2.871561480378261,3682.201398925781,2795.7821997070314,2017-10-14
1018,1976039936,-0.04341975905220535,1.8422755361248975,3714.4336987304687,2819.7053997802736,2017-10-15
1019,2008070016,0.010463458723728138,1.6179563674252946,3746.0289990234373,2842.896499633789,2017-10-16
1020,1821570048,-0.03744780028843213,1.1640494214698605,3777.571496582031,2866.3922985839845,2017-10-17
1021,2399269888,-0.0036134643945424727,0.9838637255662421,3808.442194824219,2889.060897216797,2017-10-18
1022,1780540032,0.034340543419893434,1.0696352271666796,3840.6234936523438,2911.611846923828,2017-10-19
1023,2354429952,0.08348204663183192,1.5135826607642866,3874.330793457031,2934.6435968017577,2017-10-20
1024,2207099904,0.009580047978851893,1.3786231922868055,3910.45689453125,2958.9817974853518,2017-10-21
1025,2034630016,-0.007771971986714706,1.1960672387264921,3947.193896484375,2983.473547973633,2017-10-22
1026,2401840128,-0.02082787976583568,0.8967395441777833,3984.944694824219,3007.8917474365235,2017-10-23
1027,2735699968,-0.11252750076193169,-0.2743983859987271,4024.2592932128905,3031.6299462890624,2017-10-24
1028,1966989952,0.06225223782159027,0.22508786541909043,4060.2274951171876,3053.378646850586,2017-10-25
1029,1905040000,0.04317478524814247,0.8569599287196152,4095.451394042969,3076.2528961181642,2017-10-26
