id,Volume,DeltaPriceScaled,Zscore,SMA100,SMA200,Date
996,32476700,0.004971564035836357,-0.7079270478210221,0.21149637028574944,0.16676422531018034,2017-09-23
997,20566500,-0.0026318112831551464,-0.7326524377889498,0.2106825304031372,0.16762096531456336,2017-09-24
998,35622600,0.006577311164387305,-0.2134452774301398,0.2098197203874588,0.1684673553239554,2017-09-25
999,70000704,0.004574811784502583,0.3610692079686023,0.20895108044147492,0.16934230029350147,2017-09-26
1000,249934000,0.019839977413089266,2.7416126425379077,0.20796627059578895,0.1702417603181675,2017-09-27
1001,117962000,-0.007054517460974779,1.7644753026038693,0.2070385804772377,0.17122706532245502,2017-09-28
1002,72291200,-0.002754142816752782,1.2800728288648757,0.2057556204497814,0.17217644535237922,2017-09-29
1003,54729300,0.004083285029155928,1.5656155786799888,0.20472802042961122,0.17311255037318915,2017-09-30
1004,51345500,0.009819696227597022,2.2940029243106714,0.20372483059763907,0.17406829038867727,2017-10-01
1005,77412304,-0.0037482322773155527,1.4653814264689815,0.2025903706252575,0.1750693803955801,2017-10-02
1006,48703100,0.00012013091264152292,1.346958787258246,0.20150603070855141,0.17605079038767144,2017-10-03
1007,123573000,0.012735847445335262,2.1251818294478,0.2005549807846546,0.1770368003868498,2017-10-04
1008,404299008,0.023621284694924305,3.382546810403113,0.199929840862751,0.1780771203758195,2017-10-05
1009,167492000,-0.0040634465954620174,2.268319623189171,0.19953694090247154,0.1792276404122822,2017-10-06
1010,77950200,0.005121452599018746,2.1166518907586664,0.19907278090715408,0.18036296038189903,2017-10-07
1011,529838016,0.04588255279388209,3.9101597092803226,0.1988046708703041,0.18152146537788214,2017-10-08
1012,610110016,-0.02968279658326992,1.5415117023977902,0.19897481083869933,0.1828846803912893,2017-10-09
1013,384048992,0.008715411493784133,1.6727490671028038,0.1989456209540367,0.18409089541528373,2017-10-10
1014,161206000,0.0041670235832993495,1.5698669884252339,0.19895846098661424,0.18534197045490144,2017-10-11
1015,245004000,-0.018330105099029256,0.7593136909590292,0.19900326073169708,0.18661858539097012,2017-10-12
1016,398688992,0.013449998213227165,1.0946401641861427,0.19894031062722206,0.18781293036416172,2017-10-13
1017,211160000,-0.00422105375453525,0.8353694222788088,0.1989799703657627,0.1890673903003335,2017-10-14
1018,280211008,0.007104129967754005,0.9970228155061216,0.19900676026940345,0.19030642023310065,2017-10-15
1019,963158016,-0.007884430744684876,0.530266511625902,0.19925179034471513,0.191575830290094,2017-10-16
1020,411264992,-0.026487839828427766,-0.7981612873905272,0.19945277035236358,0.1927906102593988,2017-10-17
1021,354224992,-0.013992237785831101,-1.925571584545969,0.19943925023078918,0.19384648523293435,2017-10-18
1022,304542016,-0.003393357514325714,-2.2240090615149883,0.19959280028939247,0.19482962523587047,2017-10-19
1023,182704000,-0.005000221375899167,-2.12496073674451,0.19989411026239395,0.19559958023019136,2017-10-20
1024,116807000,0.000911434794352957,-1.7822654816618912,0.19994606018066408,0.19648721021600069,2017-10-21
1025,75849504,-0.007473325189503025,-1.8431305271886507,0.20004813015460968,0.19735501521266996,2017-10-22
1026,99914800,-0.007247400245523609,-1.920026385205944,0.20018221020698548,0.19819818024523556,2017-10-23
1027,220080992,0.012207944754034953,-1.187739156705601,0.20044560015201568,0.19901949522085488,2017-10-24
1028,75017504,-0.002765162344077794,-1.1125563723309373,0.20103148013353347,0.19987111520953477,2017-10-25
1029,38193100,-0.0008993149565498888,-1.0132158968484055,0.20129863008856774,0.20071489020250738,2017-10-26
1030,29623000,-0.000973150716390803,-0.9137669024056596,0.2014477300643921,0.20156293022446334,2017-10-27
1031,26864900,-0.0008342816805334253,-0.8394220686056736,0.2017917001247406,0.20240886523388327,2017-10-28
1032,62511100,0.0015726885465759126,-0.6822586001685356,0.20192710012197496,0.20325328026898204,2017-10-29
1033,34835100,-0.0004022702262685036,-0.6161216684734054,0.2021288701891899,0.20409552526660263,2017-10-30
1034,43875700,-0.002035574384404206,-0.8723436377800062,0.20222278013825418,0.20493716527707875,2017-10-31
1035,67921000,-0.006748154894286111,-2.049835687032341,0.20227778017520903,0.2057710603158921,2017-11-01
1036,197770000,0.012415147997342963,0.3313182659295356,0.20229900017380714,0.2065719053056091,2017-11-02
1037,373401984,0.002124847336026806,1.0729707125090793,0.20257657021284103,0.20743390032090248,2017-11-03
1038,74013200,-0.004775396742397807,0.11612808187824497,0.20291968017816545,0.20830629031173886,2017-11-04
1039,46959000,-0.0013434462486178788,-0.19703164002683446,0.2032226102054119,0.20915912031196057,2017-11-05
1040,102233000,0.004433742127689093,0.9639408374897852,0.20358379021286965,0.21001853034831583,2017-11-06
1041,114073000,0.005787124015698376,2.196163284967633,0.20394498020410537,0.21089856036007404,2017-11-07
1042,156959008,0.007452386445331058,3.834894779174725,0.2043977002799511,0.2117864353582263,2017-11-08
